disease_ID,disease_name,ICD9,meridian,symptoms,acupoints
DIS0688,乙型肝炎,,足太陽膀胱經,"['發燒', '食欲減退', '惡心', '嘔吐', '腹痛', '眼白變黃', '小便深色', '大便呈泥土色或變淺色']","['肝俞', '脾俞', '腎俞', '足三里']"
SYS0130,口乾,,足太陽膀胱經,[],"['肝俞', '水通穴', '水金穴', '合谷', '期門', '行間', '太沖', '內關', '承漿', '三間', '肺俞', '天突', '關沖', '陽池', '太溪', '曲池', '金津', '玉液', '神門', '水溝', '大陵', '勞宮', '膽俞', '小腸俞', '殷門', '兌端', '足竅陰', '極泉', '指腎穴', '湧泉', '然谷', '大鐘', '照海', '復溜', '商陽', '二間', '偏歷', '下廉', '章門', '中封', '魚際', '少商', '尺澤', '列缺', '太淵', '曲澤', '間使', '陰交', '少澤', '支正', '隱白', '商丘', '不容', '下巨虛', '三神穴']"
DIS0699,子宮內膜異位疼痛,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '合谷', '期門', '太沖', '中脘', '血海', '關元', '三陰交', '百會', '章門', '列缺', '中極', '氣海', '次髎', '十七椎', '京門', '下脘', '公孫', '地機']"
DIS0272,小兒胃腸病,564,足太陽膀胱經,[],"['肝俞', '脾俞']"
DIS0062,小兒營養性消瘦,261,足太陽膀胱經,[],"['肝俞', '胃俞', '身柱', '膈俞', '八風']"
DIS0527,中毒,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '骨關穴', '手解穴', '肺俞', '分枝上穴', '分枝下穴', '木關穴', '中關穴', '心俞', '上高穴']"
DIS0461,中風,430-438,足太陽膀胱經,"['手脚或面部突然發麻或無力，尤其是身體單側', '突然感到困惑，口齒不清，或聽不懂人話', '單眼或雙眼視力突然模糊', '突然舉步困難，覺得昏眩，失去平衡感', '突然不明原因的頭疼欲裂']","['肝俞', '脾俞', '腎俞', '靈骨穴', '太沖', '內關', '後會穴', '攢竹', '風池', '肺俞', '豐隆', '風府', '關元', '三陰交', '百會', '水溝', '勞宮', '湧泉', '商陽', '足運區', '正會穴', '前會穴', '十宣', '光明穴', '心俞', '承光', '十八星穴', '囟會', '運動區', '禾髎', '中沖', '神闕', '人迎']"
DIS0493,引產,,足太陽膀胱經,[],"['肝俞', '脾俞', '腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '支溝', '崑崙', '太溪', '關元', '三陰交', '神門', '百會', '小腸俞', '列缺', '命門', '中極', '歸來', '次髎', '長強', '心俞', '印堂', '至陰', '上髎', '橫骨', '沖門']"
SYS0014,月經量或次數過多,626.2,足太陽膀胱經,['月經量或次數過多'],"['肝俞', '脾俞', '足三里', '血海', '太溪', '關元', '隱白', '陰陵泉', '婦科五穴', '氣海', '大敦']"
SYS0169,四肢痛,,足太陽膀胱經,['四肢痛'],"['肝俞', '脾俞', '腎俞', '足三里', '陽陵泉', '合谷', '太沖', '內關', '頭維', '肩髃', '肩髎', '外關', '血海', '飛揚', '曲池', '關元', '大陵', '勞宮', '梁丘', '尺澤', '陰陵泉', '環跳', '手三里', '臂臑', '膈俞', '州圓穴', '州昆穴', '州崙穴', '肩貞', '臑會', '條口', '陽溪', '後溪', '通關穴', '通天穴', '通山穴', '火耳穴', '四肢穴', '玉火穴', '肘髎', '中府', '雲門', '犢鼻', '土昌穴']"
