先礼后兵	兵不厌诈||突然袭击
帮凶	元凶||正凶
上	下
未可厚非	一无是处
梗概	细节
尖嘴猴腮	肥头大耳||风流潇洒
涩	滑
还帐	借帐||欠帐
腻烦	喜欢
平铺直叙	起伏跌宕||天花乱坠||穷形尽相||抑扬顿挫
轻诺寡信	一诺千金
疾言厉色	巧言令色||和颜悦色
乌合之众	如鸟兽散||坚甲利兵
迟缓	迅速
以下	以上
得胜回朝	落花流水||全军覆没||落荒而逃
过晌	头晌
乡间	城里
充耳不闻	洗耳恭听||有闻必录
事先请示	先斩后奏
无事生非	安分守己
昏暗	明亮||皎浩||明朗
至少	至多
不堪造就	大器晚成||大有可为
斤斤计较	大处着眼||鸡虫得失||宽宏大量
全心全意	朝三暮四
涨	缩||降
创业	守业
墨吏	清官
抱残守缺	革故鼎新
行同陌路	称兄道弟||花前月下||互为表里||一见如故
岿然不动	风雨飘摇||逃之夭夭||摇摇欲坠
上冻	解冻
自作聪明	自知之明
跋山涉水	一路顺风
贬	褒
地旷人稀	人烟稠密
黑糊糊	亮堂堂
偷工减料	一丝不苟||精雕细刻
依附	摆脱
难解难分	一刀两断
百折不挠	因噎废食||一蹶不振
三天打鱼，两天晒网	锲而不舍||坚持不懈
指不胜屈	屈指可数
洞察秋毫	浮光掠影
荆钗布裙	凤冠霞帔||珠围翠绕||珠光宝气
强大	弱小
增	减||删
见机而作	鲁莽行事
锱铢必较	鸡虫得失
保障	侵犯
本末倒置	本末相顺
心灰意冷	信心百倍
有效	无效
购置	变卖
受戒	破戒
拘泥	灵活
熟手	生手
唯我独尊	虚己以听||虚怀若谷
雌	雄
恶	善||好
顾盼自雄	招兵买马
自是	虚心
普天同庆	怨声载道||哀鸿遍野
时不我待	得过且过||无所事事
走投无路	柳暗花明||绝处逢生||鹏程万里
得势	失势
矢口否认	供认不讳
兴利除弊	陈陈相固||萧规曹随
抛头露面	隐姓埋名
摄政	亲政
情同陌路	夫唱妇随
保持	流失
疾恶如仇	同流合污||从善如流
得而复失	转危为安
胡言乱语	有条不紊||有凭有据
中听	难听
不厌其烦	下不为例
过河拆桥	饮水思源||风雨同舟
庸人	天才
无地自容	理直气壮||问心无愧||立足之地
插翅难飞	轻而易举
颠扑不破	不攻自破
公道	偏心
简明扼要	长篇大论||床上安床||盘根错节||洋洋洒洒||长篇累牍
华而不实	表里如一
添油加醋	实事求是
两全其美	两败俱伤||玉石俱焚
迎风	背风
习以为常	触目惊心||千载难逢||少见多怪
隔岸观火	见义勇为||唇亡齿寒||身临其境
入选	落选
药到病除	无可救药
促进	促退
联系	脱离||孤立||脱节
一手包办	群策群力
不足	充分||有余
无足轻重	非同小可||举足轻重||燃眉之急||人命关天
国泰民安	国步艰难||内忧外患||生灵涂炭||狼烟四起||民不聊生
喜不自胜	闷闷不乐||怒形于色
杞人忧天	若无其事
蔫巴	欢实
眼前	长远
愚不可及	大巧若拙
人心惶惶	镇定自若||泰然自若
空荡荡	满登登
买空卖空	童叟无欺
老气横秋	朝气蓬勃||老当益壮||生机勃勃||老骥伏枥||生龙活虎
模棱两可	旗帜鲜明||彰明较著||不言而喻||显而易见
检点	放荡||放诞||放肆
序言	后记
万箭攒心	兴高采烈
垂涎三尺	不屑一顾||视如敝屣
南辕北辙	马首是瞻||殊途同归
山明水秀	穷山恶水
加剧	减轻
统销	统购
关心	冷落
目光如豆	料事如神||高瞻远瞩||目光如炬
不明不白	一清二楚
令人作呕	令人神往||赞不绝口||楚楚可怜||沁人心脾
放下屠刀	困兽犹斗
无可比拟	不相上下||等量齐观
心中有数	稳操胜券||胸中无数||心中无数||一无所知
付出	收回||索取
久居故里	人去楼空
探囊取物	缘木求鱼
公家	私人
坦然自若	心惊胆战
唉声叹气	豪言壮语
天诛地灭	天经地义
日新月异	一成不变||故步自封
国无宁日	天下太平
历历可数	昏天黑地||漆黑一团
债台高筑	绰有余裕
劳苦功高	徒劳无益||劳而无功
绳床瓦灶	堆金积玉||锦衣玉食
拐弯抹角	直截了当||单刀直入
细心	粗心
暮气沉沉	生气勃勃||血气方刚
竭尽全力	养精蓄锐
纸上谈兵	脚踏实地||身经百战||埋头苦干
一往情深	朝秦暮楚||食肉寝皮||卸磨杀驴||朝三暮四
同一	对立
贻人口实	无瑕可击
慢条斯理	不假思索||急不可待||迫在眉睫||手足无措||慌里慌张||急如星火||一日千里
格格不入	得意忘言||情景交融||如影随形||水乳交融||物以类聚||心有灵犀一点通||臭味相投||心心相印
战天斗地	乐天知命
回	去
蜻蜓点水	脚踏实地||下马观花||铺天盖地||下马看花
独当一面	仰人鼻息||俯仰由人
万众一心	各奔前程||挂一漏万||四分五裂||一盘散沙
不尴不尬	泰然自若
阻塞	畅通||通过
大有可为	不堪造就||碌碌无为||碌碌无能
送	收||夺||接
奇耻大辱	光宗耀祖||丰功伟绩
一蹶不振	百折不挠||平步青云||一步登天||东山再起||死灰复燃
史不绝书	前所未闻||前所未有
破碎	完整
欢天喜地	苦海无边||心如刀割||泣不成声||寻死觅活
众志成城	孤掌难鸣||一盘散沙
湿漉漉	干巴巴
停飞	放飞
锦衣玉食	布被瓦器||绳床瓦灶
沉冤莫白	平反昭雪
欲言又止	指天画地
新来乍到	故地重游
预习	复习
节减	增加
老谋深算	入世不深||初出茅庐
肥大	瘦小
不二法门	歪门邪道
纪律	自由
辗转	直接
图谋不轨	安分守己
完好无缺	残缺不全
白手起家	根基深厚||寄人篱下
肃静	嘈杂||吵闹
标	本
糖衣炮弹	一尘不染
恰如其分	过犹不及||举措不当||离题万里||添枝加叶
归纳	演绎
传宗接代	后继无人
俯首贴耳	不卑不亢
应届	历届
光彩夺目	黯然失色
饱	饿||饥
平坦	崎岖||坎坷||陡峭
无所不通	一窍不通
气象万千	百孔千疮||每况愈下
乌七八糟	井然有序
最大公约数	最小公倍数
吉人天相	多灾多难||劫后余生||生不逢时||生不逢辰
凌乱	整齐
安居乐业	家破人亡||流离颠沛||民不聊生||戎马倥偬||十室九空||无家可归||流离失所
耻辱	光荣||荣誉
宝货难售	奇货可居
千锤百炼	粗制滥造
随俗	超然
浮光掠影	洞察秋毫||刻骨铭心||语重心长||一丝不苟
朝三暮四	墨守成规||矢志不渝||一往情深||全心全意
铁树开花	触目皆是||轻而易举
闻鸡起舞	自暴自弃
日暮途穷	飞黄腾达||来日方长||前程万里||方兴未艾||如日方升
减缩	扩展
景慕	鄙夷
疲于奔命	以逸待劳||悠闲自得||优游自在
玩物丧志	业精于勤
锐角	钝角
衰落	兴盛||昌盛
污	清
解除	保留
劣	优||良
脱靶	中靶
一无所能	拿手好戏||胜任愉快
任用	免职
冻冰	开化
接触	离开
甘拜下风	先声夺人||自命不凡||不甘示弱||迎头赶上||争长论短
不胜枚举	聊胜于无
寸草不生	郁郁葱葱||肥田沃土
风起云涌	风流云散
江河日下	如日方升||蒸蒸日上||飞黄腾达||突飞猛进
晋级	降级
假人假义	坦诚相见||肝胆相照
严寒	酷热||酷暑
等量齐观	无可比拟
累牍连篇	片纸只字||片言只字
兔起鹘落	拖泥带水||蜗行牛步
迥然不同	不相上下||毫无二致||并驾齐驱||大同小异
赶尽杀绝	慈悲为怀
说和	挑拨
短命	长寿
广义	狭义
低微	高亢||强烈
不得而知	了如指掌||洞若观火
刚正不阿	阿谀逢迎||官官相护||趋炎附势||胁肩谄笑||阿谀奉承
退避三舍	锋芒毕露||以眼还眼，以牙还牙||针锋相对
狼心狗肺	赤子之心||一寸丹心
成年	幼年
翻天覆地	一成不变
畏缩不前	奋勇当先||所向披靡||铤而走险||首当其冲||挺身而出
招兵买马	顾盼自雄||孤军作战
若隐若现	黑白分明||一目了然
循环往复	始终如一
水火不相容	水乳交融
胸襟坦荡	心怀叵测
金碧辉煌	黯然无光
精兵猛将	老弱残兵
诗情画意	平淡无奇
珠圆玉润	不堪入耳
乖巧	蠢笨||愚笨
呼幺喝六	低声下气
公海	内海||领海
卖国	爱国
满腔热枕	漠不关心
烘云托月	开门见山
轩然大波	风平浪静
流畅	晦涩||别扭||艰涩||枯涩||生涩||阻塞
人命关天	无足轻重
有口无心	言必有中
渊博	浅薄||鄙陋||贫乏
明了	含混
报仇雪恨	负屈含冤
尸骨未寒	墓木已拱
愁苦	欢乐
受宠若惊	麻木不仁
秋毫之末	重于泰山
狭义	广义
血肉相连	漠不关心||不关痛痒
进步	落后||堕落||反动
巨细无遗	窥豹一斑
盘马弯弓	不得不发||引而不发||立竿见影
进退两难	进退自如||无往不利
心惊胆战	泰然自若||坦然自若
腴	瘠
终	始
任劳任怨	拈轻怕重||聊以塞责
蝇营狗苟	光明磊落
无情	多情
轻徭薄赋	横征暴敛
讨价还价	宽宏大量||三言两语
年底	年初
奇谈怪论	义正言辞
海外奇谈	言之有据||确凿不移
谋财害命	仗义疏财
官邸	私邸
迟	快
克勤克俭	挥霍无度||尸位素餐
伤天害理	乐善好施||仰不愧天
细嫩	粗糙
月晕	日晕
前仆后继	苟且偷生||贪生怕死
水磨工夫	操之过急
口不应心	言行一致
赞颂	批判
不可思议	情有可原||可想而知
微观	宏观
学以致用	学非所用||用非所学
遐迩闻名	默默无闻
死心塌地	举棋不定||犹豫不决
放行	阻拦||阻截
胁肩谄笑	刚正不阿
纠缠不清	一刀两断
苦尽甘来	乐极生悲
寒微	富贵
急流勇进	急流勇退
围魏救赵	声东击西||围城打援
天经地义	荒谬绝伦||似是而非||天诛地灭
骄傲自满	不吝指教||谦虚谨慎||学而不厌
攀龙附凤	视同路人||敬而远之
匠心独运	因循守旧||墨守成规
杀气腾腾	心慈手软||心平气和
知过必改	明知故犯||将错就错
彰明较著	语焉不详||模棱两可
不乏其人	寥寥无几
吐故纳新	招降纳叛
加强	削弱
筋疲力尽	精力充沛||精神焕发||精神抖擞||容光焕发
心服	口服
与日俱增	每况愈下
欺人太甚	与人为善||童叟无欺
杰出	平凡||凡庸||平庸
美化	丑化
后会有期	后会难期
艰苦朴素	铺张浪费||穷奢极侈
掩人耳目	众目昭彰||众目睽睽
丢弃	拾取
无名	著名
豪放不羁	画地为牢||畏首畏尾
望而却步	勇往直前
寄存	领取
无计可施	机关算尽||急中生智||千方百计||想方设法
确实	虚假
苦咧咧	甜津津||甜丝丝
小肚鸡肠	大度包容||网开一面
恼羞成怒	心平气和
酸甜苦辣	四大皆空
白文	朱文
被动	主动
乐	愁||哀||忧
父老兄弟	一官半职
盖	开
淡泊寡味	馋涎欲滴||垂涎欲滴
婀娜多姿	丑态百出
缓和	紧张
声母	韵母
粗暴	温和||和蔼||和气||温柔
妒贤嫉能	知人善任
精华	糟粕
学富才高	学浅才疏
岂有此理	合情合理
端端正正	歪歪斜斜
乐极生悲	及时行乐||乐不可支||因祸得福||苦尽甘来||乐而忘返
收集	释放||散发
广开言路	拒谏饰非
唯唯诺诺	降龙伏虎||强头倔脑
未雨绸缪	亡羊补牢
老当益壮	老气横秋||倚老卖老||未老先衰
妄自菲薄	目空一切||妄自尊大||夜郎自大
鸠形鹄面	脑满肠肥
向心力	离心力
全神贯注	麻痹大意||心不在焉||漫不经心
空虚	充实
散	聚
提	推
共同	单独
日积月累	挥霍无度||一曝十寒
刚愎自用	博采众长||满招损，谦受益
云合雾散	如鸟兽散
事实	谎言
单	双
苦海无边	欢乐无涯||欢天喜地
繁荣富强	赤地千里||民困国贫
表	里
动	静
安居乐道	无妄之灾
兴师问罪	负荆请罪
一相情愿	两相情愿
根本	枝节
大家闺秀	小家碧玉
丑化	美化
水性杨花	冰清玉洁
匿名	具名
活跃	沉闷
鸣金收兵	大动干戈||调兵遣将
穷乡僻壤	鸟语花香||通都大邑||沃野千里||十字街头||万人空巷
盛世	乱世
纵	横
同室操戈	同仇敌忾
致人死地	治病救人
原原本本	有头无尾||东鳞西爪
津津有味	枯燥无味||味同嚼蜡||索然无味
一帆风顺	好事多磨||节外生枝||逆水行舟||势成骑虎||一波三折||横生枝节
自诉	公诉
不同凡响	不过尔尔
落日	旭日
荣誉	耻辱
百姓	官吏
旁若无人	众目睽睽
稀稀拉拉	密密麻麻||密密丛丛
放	收||抓
隔靴搔痒	切中要害||一语破的||一针见血
广	窄
老练	幼稚
闰年	平年
预演	公演
再接再厉	得过且过
蹑足其闷	坐观成败
突变	渐变
国富民强	国步艰难
乐此不疲	心不在焉||心猿意马
深奥	浅显||粗浅||浅近
扬长而去	恋恋不舍
燃眉之急	无关大局||无足轻重
跳梁小丑	志士仁人||正人君子
如影随形	格格不入
哀	乐
晨	昏
荤	素
金无足赤，人无完人	十全十美||完美无缺
沃野千里	穷乡僻壤
农闲	农忙
顾影自怜	妄自尊大
一钱不值	价值连城
顺手	棘手||辣手||扎手
升	降
提高	降低
大张旗鼓	秘而不宣||不露声色||偃旗息鼓
沉没	漂浮
痛心疾首	感恩戴德
小年	大年
称赞	谴责
升涨	下跌
言简意赅	床上安床||鸿篇巨制||陈词滥调||大块文章
